Date,Close
2/16/2024,37.05
02/09/2024,40.17
02/02/2024,37.4
1/26/2024,34.21
1/19/2024,34.53
01/12/2024,34.88
01/05/2024,25
12/29/2023,27.5
12/22/2023,28.21
12/15/2023,25.37
12/08/2023,24.56
12/01/2023,25.73
11/24/2023,24.05
11/17/2023,24.06
11/10/2023,24.61
11/03/2023,23.55
10/27/2023,22
10/20/2023,24.6
10/13/2023,23.67
10/06/2023,22.91
9/29/2023,23.63
9/22/2023,21.92
9/15/2023,23.04
09/08/2023,23.6
09/01/2023,24.79
8/25/2023,24.65
8/18/2023,24.25
08/11/2023,23.98
08/04/2023,25.07
7/28/2023,24.75
7/21/2023,26.56
7/14/2023,26.37
07/07/2023,34.83
6/30/2023,36.78
6/23/2023,34.94
6/16/2023,36.12
06/09/2023,34.88
06/02/2023,36.47
5/26/2023,36.64
5/19/2023,36.96
05/12/2023,36.2
05/05/2023,36.3
4/28/2023,43.06
4/21/2023,43.9
4/14/2023,42.29
04/07/2023,41.91
3/31/2023,43.37
3/24/2023,39.03
3/17/2023,41.22
03/10/2023,40.24
03/03/2023,41.7
2/24/2023,41.93
2/17/2023,44.77
02/10/2023,42.64
02/03/2023,47.39
1/27/2023,47.33
1/20/2023,46.42
1/13/2023,45.82
01/06/2023,49.38
12/30/2022,47.35
12/23/2022,47.32
12/16/2022,46.21
12/09/2022,50.46
12/02/2022,51.16
11/25/2022,51.37
11/18/2022,51.01
11/11/2022,54.08
11/04/2022,51.78
10/28/2022,51.79
10/21/2022,52.15
10/14/2022,49.31
10/07/2022,46.95
9/30/2022,45.39
9/23/2022,43.83
9/16/2022,46.99
09/09/2022,47.67
09/02/2022,43.7
8/26/2022,42.59
8/19/2022,44.78
08/12/2022,44.02
08/05/2022,41.43
7/29/2022,40.4
7/22/2022,38.59
7/15/2022,33.73
07/08/2022,37.7
07/01/2022,34.85
6/24/2022,34.9
6/17/2022,32.85
06/10/2022,35.75
06/03/2022,38.21
5/27/2022,37.27
5/20/2022,37.7
5/13/2022,38.54
05/06/2022,39.8
4/29/2022,45.75
4/22/2022,45.32
4/15/2022,44.98
04/08/2022,47
04/01/2022,47.6
3/25/2022,47.8
3/18/2022,49.25
03/11/2022,43.45
03/04/2022,44.35
2/25/2022,49.28
2/18/2022,54.16
02/11/2022,55.93
02/04/2022,57.75
1/28/2022,58.13
1/21/2022,54.48
1/14/2022,59.75
01/07/2022,50.31
12/31/2021,52.35
12/24/2021,50.55
12/17/2021,49.75
12/10/2021,51.3
12/03/2021,49.22
11/26/2021,50.53
11/19/2021,52.65
11/12/2021,52.46
11/05/2021,49.12
10/29/2021,48.74
10/22/2021,49.59
10/15/2021,48.23
10/08/2021,42.15
10/01/2021,40.81
9/24/2021,42.61
9/17/2021,42.85
09/10/2021,41.72
09/03/2021,40.66
8/27/2021,40
8/20/2021,39.28
8/13/2021,39.19
08/06/2021,37.08
7/30/2021,36.59
7/23/2021,36.4
7/16/2021,34.05
07/09/2021,36.29
07/02/2021,37.47
6/25/2021,36
6/18/2021,35.2
06/11/2021,33.21
06/04/2021,30.09
5/28/2021,29.75
5/21/2021,29.95
5/14/2021,30
05/07/2021,31.57
4/30/2021,30.67
4/23/2021,30.96
4/16/2021,31.6
04/09/2021,31.5
04/02/2021,31.22
3/26/2021,29.76
3/19/2021,30.84
03/12/2021,31.14
03/05/2021,30.58
2/26/2021,29.99
2/19/2021,28.91
02/12/2021,28.32
02/05/2021,29.31
1/29/2021,26.6
1/22/2021,27.54
1/15/2021,26.38
01/08/2021,25.41
01/01/2021,25.79
12/25/2020,25.66
12/18/2020,25.39
12/11/2020,24.15
12/04/2020,24.79
11/27/2020,23.38
11/20/2020,24.28
11/13/2020,23.55
11/06/2020,20.23
10/30/2020,20.12
10/23/2020,21.84
10/16/2020,22.9
10/09/2020,19.2
10/02/2020,17.85
9/25/2020,17.93
9/18/2020,17.4
09/11/2020,17.6
09/04/2020,18.59
8/28/2020,18.94
8/21/2020,17.6
8/14/2020,17.76
08/07/2020,17.85
7/31/2020,17.73
7/24/2020,18.29
7/17/2020,18.98
07/10/2020,20.05
07/03/2020,19.11
6/26/2020,17.85
6/19/2020,18.65
06/12/2020,18.96
06/05/2020,21
5/29/2020,18.14
5/22/2020,16.66
5/15/2020,14.6
05/08/2020,15.76
05/01/2020,15.65
4/24/2020,14.02
4/17/2020,14.36
04/10/2020,13.97
04/03/2020,10.85
3/27/2020,12.41
3/20/2020,11.08
3/13/2020,16.29
03/06/2020,21.04
2/28/2020,22.12
2/21/2020,25.72
2/14/2020,25.71
02/07/2020,25.21
1/31/2020,25.03
1/24/2020,25.03
1/17/2020,24.71
01/10/2020,23.16
01/03/2020,19.23
